"DateTime","Players","Flags","Twitch Viewers"
"2015-05-25 00:00:00",1
"2015-05-26 00:00:00",
"2015-05-27 00:00:00",
"2015-05-28 00:00:00",
"2015-05-29 00:00:00",1
"2015-05-30 00:00:00",
"2015-05-31 00:00:00",
"2015-06-01 00:00:00",
"2015-06-02 00:00:00",
"2015-06-03 00:00:00",
"2015-06-04 00:00:00",
"2015-06-05 00:00:00",
"2015-06-06 00:00:00",
"2015-06-07 00:00:00",
"2015-06-08 00:00:00",2
"2015-06-09 00:00:00",3
"2015-06-10 00:00:00",
"2015-06-11 00:00:00",
"2015-06-12 00:00:00",
"2015-06-13 00:00:00",
"2015-06-14 00:00:00",
"2015-06-15 00:00:00",
"2015-06-16 00:00:00",3
"2015-06-17 00:00:00",
"2015-06-18 00:00:00",
"2015-06-19 00:00:00",1
"2015-06-20 00:00:00",
"2015-06-21 00:00:00",
"2015-06-22 00:00:00",1
"2015-06-23 00:00:00",
"2015-06-24 00:00:00",3
"2015-06-25 00:00:00",5
"2015-06-26 00:00:00",2
"2015-06-27 00:00:00",
"2015-06-28 00:00:00",
"2015-06-29 00:00:00",
"2015-06-30 00:00:00",1
"2015-07-01 00:00:00",
"2015-07-02 00:00:00",
"2015-07-03 00:00:00",
"2015-07-04 00:00:00",
"2015-07-05 00:00:00",
"2015-07-06 00:00:00",
"2015-07-07 00:00:00",
"2015-07-08 00:00:00",
"2015-07-09 00:00:00",
"2015-07-10 00:00:00",
"2015-07-11 00:00:00",1
"2015-07-12 00:00:00",
"2015-07-13 00:00:00",3
"2015-07-14 00:00:00",
"2015-07-15 00:00:00",
"2015-07-16 00:00:00",1
"2015-07-17 00:00:00",
"2015-07-18 00:00:00",
"2015-07-19 00:00:00",
"2015-07-20 00:00:00",3
"2015-07-21 00:00:00",2
"2015-07-22 00:00:00",2
"2015-07-23 00:00:00",1
"2015-07-24 00:00:00",
"2015-07-25 00:00:00",
"2015-07-26 00:00:00",
"2015-07-27 00:00:00",
"2015-07-28 00:00:00",,,4
"2015-07-29 00:00:00",,,0
"2015-07-30 00:00:00",,,0
"2015-07-31 00:00:00",,,0
"2015-08-01 00:00:00",,,0
"2015-08-02 00:00:00",,,0
"2015-08-03 00:00:00",,,0
"2015-08-04 00:00:00",,,0
"2015-08-05 00:00:00",,,0
"2015-08-06 00:00:00",,,0
"2015-08-07 00:00:00",,,1067
"2015-08-08 00:00:00",,,14320
"2015-08-09 00:00:00",,,0
"2015-08-10 00:00:00",,,8
"2015-08-11 00:00:00",,,0
"2015-08-12 00:00:00",,,0
"2015-08-13 00:00:00",1,,1
"2015-08-14 00:00:00",,,0
"2015-08-15 00:00:00",,,0
"2015-08-16 00:00:00",,,0
"2015-08-17 00:00:00",,,0
"2015-08-18 00:00:00",,,0
"2015-08-19 00:00:00",,,0
"2015-08-20 00:00:00",,,6
"2015-08-21 00:00:00",,,51
"2015-08-22 00:00:00",,,2
"2015-08-23 00:00:00",,,0
"2015-08-24 00:00:00",,,0
"2015-08-25 00:00:00",,,0
"2015-08-26 00:00:00",,,0
"2015-08-27 00:00:00",1,,1
"2015-08-28 00:00:00",,,72
"2015-08-29 00:00:00",,,303
"2015-08-30 00:00:00",,,336
"2015-08-31 00:00:00",1,,232
"2015-09-01 00:00:00",,,0
"2015-09-02 00:00:00",,,0
"2015-09-03 00:00:00",1,,0
"2015-09-04 00:00:00",,,0
"2015-09-05 00:00:00",,,3
"2015-09-06 00:00:00",,,0
"2015-09-07 00:00:00",,,25
"2015-09-08 00:00:00",,,27
"2015-09-09 00:00:00",,,0
"2015-09-10 00:00:00",,,0
"2015-09-11 00:00:00",,,0
"2015-09-12 00:00:00",,,0
"2015-09-13 00:00:00",,,0
"2015-09-14 00:00:00",,,0
"2015-09-15 00:00:00",,,0
"2015-09-16 00:00:00",,,0
"2015-09-17 00:00:00",,,0
"2015-09-18 00:00:00",,,0
"2015-09-19 00:00:00",,,7
"2015-09-20 00:00:00",,,15
"2015-09-21 00:00:00",,,674
"2015-09-22 00:00:00",,,44
"2015-09-23 00:00:00",,,49344
"2015-09-24 00:00:00",,,15130
"2015-09-25 00:00:00",1,,17005
"2015-09-26 00:00:00",,,18337
"2015-09-27 00:00:00",,,28739
"2015-09-28 00:00:00",3,,21201
"2015-09-29 00:00:00",2,,44306
"2015-09-30 00:00:00",1,,42826
"2015-10-01 00:00:00",3,,23903
"2015-10-02 00:00:00",4,,14619
"2015-10-03 00:00:00",1,,40656
"2015-10-04 00:00:00",,,9309
"2015-10-05 00:00:00",,,20687
"2015-10-06 00:00:00",,,45
"2015-10-07 00:00:00",1,,22
"2015-10-08 00:00:00",5,,6
"2015-10-09 00:00:00",4,,389
"2015-10-10 00:00:00",3,,1551
"2015-10-11 00:00:00",3,,24
"2015-10-12 00:00:00",4,,7
"2015-10-13 00:00:00",11,,12
"2015-10-14 00:00:00",13,,3
"2015-10-15 00:00:00",8,,2
"2015-10-16 00:00:00",11,,4
"2015-10-17 00:00:00",8,,3
"2015-10-18 00:00:00",5,,7
"2015-10-19 00:00:00",8,,6
"2015-10-20 00:00:00",7,,4
"2015-10-21 00:00:00",9,,82
"2015-10-22 00:00:00",11,,34
"2015-10-23 00:00:00",12,,36
"2015-10-24 00:00:00",4,,112
"2015-10-25 00:00:00",3,,30
"2015-10-26 00:00:00",11,,5
"2015-10-27 00:00:00",12,,5
"2015-10-28 00:00:00",12,,74
"2015-10-29 00:00:00",4,,1
"2015-10-30 00:00:00",14,,4
"2015-10-31 00:00:00",,,3
"2015-11-01 00:00:00",,,107
"2015-11-02 00:00:00",15,,4
"2015-11-03 00:00:00",13,,2
"2015-11-04 00:00:00",14,,1
"2015-11-05 00:00:00",13,,80
"2015-11-06 00:00:00",14,,11
"2015-11-07 00:00:00",8,,7
"2015-11-08 00:00:00",7,,7
"2015-11-09 00:00:00",13,,5
"2015-11-10 00:00:00",13,,872
"2015-11-11 00:00:00",13,,1
"2015-11-12 00:00:00",15,,2
"2015-11-13 00:00:00",15,,1
"2015-11-14 00:00:00",1,,278
"2015-11-15 00:00:00",1,,82
"2015-11-16 00:00:00",13,,3
"2015-11-17 00:00:00",15,,2
"2015-11-18 00:00:00",17,,2
"2015-11-19 00:00:00",8,,1
"2015-11-20 00:00:00",5,,0
"2015-11-21 00:00:00",1,,2
"2015-11-22 00:00:00",1,,5
"2015-11-23 00:00:00",14,,4261
"2015-11-24 00:00:00",1,,13417
"2015-11-25 00:00:00",14,,18348
"2015-11-26 00:00:00",15,,16924
"2015-11-27 00:00:00",14,,14144
"2015-11-28 00:00:00",1,,11508
"2015-11-29 00:00:00",,,13247
"2015-11-30 00:00:00",1,,9546
"2015-12-01 00:00:00",9375,,78000
"2015-12-02 00:00:00",9644,,43081
"2015-12-03 00:00:00",9574,,21731
"2015-12-04 00:00:00",9760,,22240
"2015-12-05 00:00:00",11185,,20170
"2015-12-06 00:00:00",10350,,24293
"2015-12-07 00:00:00",9578,,36316
"2015-12-08 00:00:00",9160,,35027
"2015-12-09 00:00:00",8481,,16299
"2015-12-10 00:00:00",8263,,14382
"2015-12-11 00:00:00",8401,,30790
"2015-12-12 00:00:00",10044,,28796
"2015-12-13 00:00:00",10613,,27772
"2015-12-14 00:00:00",8407,,24158
"2015-12-15 00:00:00",8061,,28249
"2015-12-16 00:00:00",8237,,28141
"2015-12-17 00:00:00",7735,,25397
"2015-12-18 00:00:00",7916,,16001
"2015-12-19 00:00:00",9108,,17326
"2015-12-20 00:00:00",9531,,24457
"2015-12-21 00:00:00",8078,,14260
"2015-12-22 00:00:00",7803,,17325
"2015-12-23 00:00:00",7809,,13173
"2015-12-24 00:00:00",7156,,27839
"2015-12-25 00:00:00",11553,,12950
"2015-12-26 00:00:00",15706,,9117
"2015-12-27 00:00:00",17199,,14848
"2015-12-28 00:00:00",17999,,14601
"2015-12-29 00:00:00",17435,,16012
"2015-12-30 00:00:00",17693,,16824
"2015-12-31 00:00:00",16117,,18399
"2016-01-01 00:00:00",19009,,14135
"2016-01-02 00:00:00",19117,,17359
"2016-01-03 00:00:00",20112,,15189
"2016-01-04 00:00:00",18955,,12647
"2016-01-05 00:00:00",16436,,22815
"2016-01-06 00:00:00",15129,,25742
"2016-01-07 00:00:00",12241,,11882
"2016-01-08 00:00:00",15794,,20580
"2016-01-09 00:00:00",17645,,16631
"2016-01-10 00:00:00",17696,,15844
"2016-01-11 00:00:00",13381,,16770
"2016-01-12 00:00:00",12753,,17761
"2016-01-13 00:00:00",12742,,19638
"2016-01-14 00:00:00",12521,,18460
"2016-01-15 00:00:00",13277,,12422
"2016-01-16 00:00:00",14945,,16804
"2016-01-17 00:00:00",15253,,18595
"2016-01-18 00:00:00",13853,,20730
"2016-01-19 00:00:00",11495,,11161
"2016-01-20 00:00:00",11398,,15244
"2016-01-21 00:00:00",11532,,8491
"2016-01-22 00:00:00",12866,,16752
"2016-01-23 00:00:00",14484,,15597
"2016-01-24 00:00:00",14464,,13987
"2016-01-25 00:00:00",11637,,12733
"2016-01-26 00:00:00",11150,,13916
"2016-01-27 00:00:00",10828,,13576
"2016-01-28 00:00:00",10453,,10897
"2016-01-29 00:00:00",10410,,10397
"2016-01-30 00:00:00",12131,,8715
"2016-01-31 00:00:00",13236,,17469
"2016-02-01 00:00:00",10220,,19130
"2016-02-02 00:00:00",13912,,28240
"2016-02-03 00:00:00",12820,,18350
"2016-02-04 00:00:00",12208,,20696
"2016-02-05 00:00:00",12636,,14276
"2016-02-06 00:00:00",14606,,9775
"2016-02-07 00:00:00",16094,,13371
"2016-02-08 00:00:00",13515,,24348
"2016-02-09 00:00:00",14046,,10599
"2016-02-10 00:00:00",12942,,10847
"2016-02-11 00:00:00",14162,,13744
"2016-02-12 00:00:00",14244,,15212
"2016-02-13 00:00:00",15735,,8763
"2016-02-14 00:00:00",15401,,13230
"2016-02-15 00:00:00",13902,,7750
"2016-02-16 00:00:00",11899,,5704
"2016-02-17 00:00:00",11125,,12119
"2016-02-18 00:00:00",10637,,8791
"2016-02-19 00:00:00",9501,,9263
"2016-02-20 00:00:00",11059,,7582
"2016-02-21 00:00:00",12342,,12110
"2016-02-22 00:00:00",10108,,8444
"2016-02-23 00:00:00",9526,,6485
"2016-02-24 00:00:00",9159,,12675
"2016-02-25 00:00:00",9316,,11816
"2016-02-26 00:00:00",10273,,11206
"2016-02-27 00:00:00",11804,,9515
"2016-02-28 00:00:00",11914,,12287
"2016-02-29 00:00:00",8824,,10719
"2016-03-01 00:00:00",7340,,7327
"2016-03-02 00:00:00",8639,,12176
"2016-03-03 00:00:00",8480,,6625
"2016-03-04 00:00:00",9290,,11974
"2016-03-05 00:00:00",11239,,8738
"2016-03-06 00:00:00",11355,,6947
"2016-03-07 00:00:00",8485,,13632
"2016-03-08 00:00:00",6712,,5849
"2016-03-09 00:00:00",6395,,3644
"2016-03-10 00:00:00",6490,,4992
"2016-03-11 00:00:00",7308,,9485
"2016-03-12 00:00:00",8514,,4167
"2016-03-13 00:00:00",8585,,4881
"2016-03-14 00:00:00",6740,,6066
"2016-03-15 00:00:00",6376,,4623
"2016-03-16 00:00:00",6634,,8145
"2016-03-17 00:00:00",6690,,3528
"2016-03-18 00:00:00",7338,,4617
"2016-03-19 00:00:00",8528,,6201
"2016-03-20 00:00:00",8353,,2812
"2016-03-21 00:00:00",6787,,6733
"2016-03-22 00:00:00",6590,,4106
"2016-03-23 00:00:00",6799,,20699
"2016-03-24 00:00:00",7025,,12527
"2016-03-25 00:00:00",8848,,6483
"2016-03-26 00:00:00",9851,,6413
"2016-03-27 00:00:00",10544,,11264
"2016-03-28 00:00:00",10074,,13842
"2016-03-29 00:00:00",8393,,4995
"2016-03-30 00:00:00",8630,,5733
"2016-03-31 00:00:00",8381,,12195
"2016-04-01 00:00:00",8824,,6205
"2016-04-02 00:00:00",10211,,9233
"2016-04-03 00:00:00",10552,,4071
"2016-04-04 00:00:00",7624,,8301
"2016-04-05 00:00:00",7084,,7176
"2016-04-06 00:00:00",7087,,4186
"2016-04-07 00:00:00",7081,,7902
"2016-04-08 00:00:00",8101,,7384
"2016-04-09 00:00:00",9647,,7603
"2016-04-10 00:00:00",8979,,9053
"2016-04-11 00:00:00",6792,,5764
"2016-04-12 00:00:00",5949,,5600
"2016-04-13 00:00:00",6058,,5251
"2016-04-14 00:00:00",6603,,3943
"2016-04-15 00:00:00",20557,,7269
"2016-04-16 00:00:00",29128,,3263
"2016-04-17 00:00:00",28854,,5529
"2016-04-18 00:00:00",11266,,4882
"2016-04-19 00:00:00",9760,,4261
"2016-04-20 00:00:00",9378,,3858
"2016-04-21 00:00:00",9573,,3113
"2016-04-22 00:00:00",10092,,16180
"2016-04-23 00:00:00",11686,,5793
"2016-04-24 00:00:00",10967,,35253
"2016-04-25 00:00:00",8014,,26988
"2016-04-26 00:00:00",7791,,5199
"2016-04-27 00:00:00",7715,,4610
"2016-04-28 00:00:00",7693,,3376
"2016-04-29 00:00:00",8994,,4988
"2016-04-30 00:00:00",9994,,5435
"2016-05-01 00:00:00",10381,,9614
"2016-05-02 00:00:00",7581,,7650
"2016-05-03 00:00:00",6505,,2936
"2016-05-04 00:00:00",7092,,4232
"2016-05-05 00:00:00",6297,,3126
"2016-05-06 00:00:00",6908,,1699
"2016-05-07 00:00:00",8001,,17742
"2016-05-08 00:00:00",7489,,3012
"2016-05-09 00:00:00",6222,,4158
"2016-05-10 00:00:00",6930,,8728
"2016-05-11 00:00:00",13552,,8156
"2016-05-12 00:00:00",11937,,7944
"2016-05-13 00:00:00",12406,,6719
"2016-05-14 00:00:00",14522,,9540
"2016-05-15 00:00:00",13821,,6418
"2016-05-16 00:00:00",11804,,6145
"2016-05-17 00:00:00",10192,,7465
"2016-05-18 00:00:00",10761,,6969
"2016-05-19 00:00:00",10319,,5813
"2016-05-20 00:00:00",11108,,5712
"2016-05-21 00:00:00",12782,,5316
"2016-05-22 00:00:00",12398,,7858
"2016-05-23 00:00:00",10007,,3448
"2016-05-24 00:00:00",8485,,3351
"2016-05-25 00:00:00",8320,,2591
"2016-05-26 00:00:00",8756,,5877
"2016-05-27 00:00:00",9243,,4999
"2016-05-28 00:00:00",10189,,3038
"2016-05-29 00:00:00",9924,,5670
"2016-05-30 00:00:00",8733,,4973
"2016-05-31 00:00:00",7398,,5828
"2016-06-01 00:00:00",7685,,6312
"2016-06-02 00:00:00",7649,,6539
"2016-06-03 00:00:00",10466,,9160
"2016-06-04 00:00:00",12657,,6530
"2016-06-05 00:00:00",14700,,4792
"2016-06-06 00:00:00",12592,,4391
"2016-06-07 00:00:00",12918,,4048
"2016-06-08 00:00:00",13242,,5009
"2016-06-09 00:00:00",13321,,4799
"2016-06-10 00:00:00",13008,,6305
"2016-06-11 00:00:00",14259,,4189
"2016-06-12 00:00:00",14936,,3059
"2016-06-13 00:00:00",13067,,4240
"2016-06-14 00:00:00",13094,,10581
"2016-06-15 00:00:00",12728,,3934
"2016-06-16 00:00:00",11949,,4305
"2016-06-17 00:00:00",12731,,3932
"2016-06-18 00:00:00",13031,,3631
"2016-06-19 00:00:00",13968,,6752
"2016-06-20 00:00:00",12689,,4303
"2016-06-21 00:00:00",13185,,3996
"2016-06-22 00:00:00",11608,,10934
"2016-06-23 00:00:00",10960,,4956
"2016-06-24 00:00:00",12552,,5491
"2016-06-25 00:00:00",13636,,3972
"2016-06-26 00:00:00",15357,,4664
"2016-06-27 00:00:00",14500,,4388
"2016-06-28 00:00:00",14724,,5125
"2016-06-29 00:00:00",13985,,4367
"2016-06-30 00:00:00",13644,,3814
"2016-07-01 00:00:00",14275,,3851
"2016-07-02 00:00:00",15152,,6001
"2016-07-03 00:00:00",15501,,4458
"2016-07-04 00:00:00",16059,,4024
"2016-07-05 00:00:00",14613,,3153
"2016-07-06 00:00:00",13306,,3314
"2016-07-07 00:00:00",12290,,3344
"2016-07-08 00:00:00",12366,,2820
"2016-07-09 00:00:00",12375,,2751
"2016-07-10 00:00:00",12312,,2890
"2016-07-11 00:00:00",12206,,4193
"2016-07-12 00:00:00",12164,,4229
"2016-07-13 00:00:00",12314,,4370
"2016-07-14 00:00:00",11953,,5205
"2016-07-15 00:00:00",11303,,12574
"2016-07-16 00:00:00",11854,,4751
"2016-07-17 00:00:00",12334,,3435
"2016-07-18 00:00:00",11504,,16263
"2016-07-19 00:00:00",11212,,3961
"2016-07-20 00:00:00",10748,,3341
"2016-07-21 00:00:00",11081,,4048
"2016-07-22 00:00:00",11234,,5426
"2016-07-23 00:00:00",11261,,4606
"2016-07-24 00:00:00",11850,,3534
"2016-07-25 00:00:00",12052,,4544
"2016-07-26 00:00:00",12347,,4577
"2016-07-27 00:00:00",12264,,5018
"2016-07-28 00:00:00",16597,,5614
"2016-07-29 00:00:00",30821,,7465
"2016-07-30 00:00:00",35853,,58894
"2016-07-31 00:00:00",39536,,33507
"2016-08-01 00:00:00",32314,,6365
"2016-08-02 00:00:00",28545,,7892
"2016-08-03 00:00:00",24685,,18727
"2016-08-04 00:00:00",22611,,14322
"2016-08-05 00:00:00",20796,,9948
"2016-08-06 00:00:00",21023,,14571
"2016-08-07 00:00:00",20572,,9892
"2016-08-08 00:00:00",18470,,12999
"2016-08-09 00:00:00",19791,,9998
"2016-08-10 00:00:00",17909,,8779
"2016-08-11 00:00:00",17883,,7905
"2016-08-12 00:00:00",17302,,8807
"2016-08-13 00:00:00",17568,,15285
"2016-08-14 00:00:00",18422,,8120
"2016-08-15 00:00:00",17348,,13829
"2016-08-16 00:00:00",16913,,13158
"2016-08-17 00:00:00",15847,,14388
"2016-08-18 00:00:00",16699,,12689
"2016-08-19 00:00:00",16672,,8450
"2016-08-20 00:00:00",18147,,8918
"2016-08-21 00:00:00",19129,,8084
"2016-08-22 00:00:00",16422,,14448
"2016-08-23 00:00:00",15876,,8620
"2016-08-24 00:00:00",15318,,6795
"2016-08-25 00:00:00",15562,,14550
"2016-08-26 00:00:00",15990,,7727
"2016-08-27 00:00:00",17733,,11643
"2016-08-28 00:00:00",18953,,8145
"2016-08-29 00:00:00",16200,,16589
"2016-08-30 00:00:00",14706,,10076
"2016-08-31 00:00:00",14063,,4707
"2016-09-01 00:00:00",12182,,8413
"2016-09-02 00:00:00",13260,,9744
"2016-09-03 00:00:00",14956,,4994
"2016-09-04 00:00:00",15281,,11126
"2016-09-05 00:00:00",14332,,11562
"2016-09-06 00:00:00",12339,,5373
"2016-09-07 00:00:00",13235,,6086
"2016-09-08 00:00:00",13311,,10567
"2016-09-09 00:00:00",14356,,8545
"2016-09-10 00:00:00",16908,,31594
"2016-09-11 00:00:00",17143,,6620
"2016-09-12 00:00:00",13919,,7751
"2016-09-13 00:00:00",17245,,35021
"2016-09-14 00:00:00",16086,,25319
"2016-09-15 00:00:00",15217,,7697
"2016-09-16 00:00:00",16066,,9370
"2016-09-17 00:00:00",17630,,31272
"2016-09-18 00:00:00",18114,,7413
"2016-09-19 00:00:00",14636,,5947
"2016-09-20 00:00:00",14284,,10071
"2016-09-21 00:00:00",13535,,24300
"2016-09-22 00:00:00",13829,,14595
"2016-09-23 00:00:00",15250,,23489
"2016-09-24 00:00:00",17520,,29361
"2016-09-25 00:00:00",17246,,6004
"2016-09-26 00:00:00",14030,,22085
"2016-09-27 00:00:00",13249,,16440
"2016-09-28 00:00:00",14040,,6716
"2016-09-29 00:00:00",13631,,10346
"2016-09-30 00:00:00",15870,,4726
"2016-10-01 00:00:00",18569,,16291
"2016-10-02 00:00:00",19372,,6026
"2016-10-03 00:00:00",16227,,4805
"2016-10-04 00:00:00",15322,,7774
"2016-10-05 00:00:00",15114,,12092
"2016-10-06 00:00:00",16088,,5788
"2016-10-07 00:00:00",16852,,7018
"2016-10-08 00:00:00",18821,,7079
"2016-10-09 00:00:00",19493,,5287
"2016-10-10 00:00:00",17044,,6042
"2016-10-11 00:00:00",15102,,6339
"2016-10-12 00:00:00",16091,,5298
"2016-10-13 00:00:00",15133,,5439
"2016-10-14 00:00:00",15840,,5990
"2016-10-15 00:00:00",18557,,14102
"2016-10-16 00:00:00",17306,,6378
"2016-10-17 00:00:00",13734,,4554
"2016-10-18 00:00:00",12131,,4916
"2016-10-19 00:00:00",12633,,4715
"2016-10-20 00:00:00",13262,,5498
"2016-10-21 00:00:00",13708,,5829
"2016-10-22 00:00:00",15659,,3274
"2016-10-23 00:00:00",14527,,3254
"2016-10-24 00:00:00",11972,,3839
"2016-10-25 00:00:00",11479,,4081
"2016-10-26 00:00:00",11195,,3586
"2016-10-27 00:00:00",11261,,7006
"2016-10-28 00:00:00",12649,,4826
"2016-10-29 00:00:00",14465,,3720
"2016-10-30 00:00:00",13637,,6495
"2016-10-31 00:00:00",10470,,5917
"2016-11-01 00:00:00",11496,,3884
"2016-11-02 00:00:00",12215,,4652
"2016-11-03 00:00:00",11728,,4963
"2016-11-04 00:00:00",13161,,4291
"2016-11-05 00:00:00",15469,,4289
"2016-11-06 00:00:00",14289,,4343
"2016-11-07 00:00:00",11179,,5082
"2016-11-08 00:00:00",11624,,5427
"2016-11-09 00:00:00",10880,,13738
"2016-11-10 00:00:00",13065,,4644
"2016-11-11 00:00:00",30247,,3924
"2016-11-12 00:00:00",41392,,29328
"2016-11-13 00:00:00",41938,,62002
"2016-11-14 00:00:00",25578,,6761
"2016-11-15 00:00:00",24580,,6072
"2016-11-16 00:00:00",21904,,11058
"2016-11-17 00:00:00",27757,,29434
"2016-11-18 00:00:00",28509,,22216
"2016-11-19 00:00:00",30480,,21591
"2016-11-20 00:00:00",27724,,24636
"2016-11-21 00:00:00",21215,,24328
"2016-11-22 00:00:00",21657,,24253
"2016-11-23 00:00:00",21992,,25549
"2016-11-24 00:00:00",23445,,13933
"2016-11-25 00:00:00",26179,,22446
"2016-11-26 00:00:00",30834,,24019
"2016-11-27 00:00:00",29303,,18129
"2016-11-28 00:00:00",23566,,10777
"2016-11-29 00:00:00",23736,,7910
"2016-11-30 00:00:00",22654,,9770
"2016-12-01 00:00:00",21782,,6775
"2016-12-02 00:00:00",25007,,20343
"2016-12-03 00:00:00",29647,,8252
"2016-12-04 00:00:00",28301,,7261
"2016-12-05 00:00:00",21301,,6072
"2016-12-06 00:00:00",21334,,6587
"2016-12-07 00:00:00",18344,,6583
"2016-12-08 00:00:00",20802,,14429
"2016-12-09 00:00:00",24109,,8117
"2016-12-10 00:00:00",27444,,10162
"2016-12-11 00:00:00",25217,,12075
"2016-12-12 00:00:00",19221,,24180
"2016-12-13 00:00:00",19523,,9172
"2016-12-14 00:00:00",18736,,5789
"2016-12-15 00:00:00",21104,,12540
"2016-12-16 00:00:00",22631,,8274
"2016-12-17 00:00:00",24886,,7662
"2016-12-18 00:00:00",23419,,15533
"2016-12-19 00:00:00",19973,,12311
"2016-12-20 00:00:00",21239,,10396
"2016-12-21 00:00:00",21131,,14621
"2016-12-22 00:00:00",20750,,11473
"2016-12-23 00:00:00",24624,,7919
"2016-12-24 00:00:00",25171,,14768
"2016-12-25 00:00:00",23500,,6791
"2016-12-26 00:00:00",26744,,19747
"2016-12-27 00:00:00",28281,,14909
"2016-12-28 00:00:00",29045,,16164
"2016-12-29 00:00:00",29360,,10510
"2016-12-30 00:00:00",31008,,13897
"2016-12-31 00:00:00",29348,,14177
"2017-01-01 00:00:00",30547,,16694
"2017-01-02 00:00:00",34504,,16895
"2017-01-03 00:00:00",30129,,14825
"2017-01-04 00:00:00",28738,,21049
"2017-01-05 00:00:00",28180,,14644
"2017-01-06 00:00:00",30472,,31152
"2017-01-07 00:00:00",33358,,18240
"2017-01-08 00:00:00",31922,,22705
"2017-01-09 00:00:00",25360,,22169
"2017-01-10 00:00:00",24998,,18742
"2017-01-11 00:00:00",24388,,13660
"2017-01-12 00:00:00",24502,,12354
"2017-01-13 00:00:00",27802,,14271
"2017-01-14 00:00:00",31686,,13601
"2017-01-15 00:00:00",31564,,13734
"2017-01-16 00:00:00",28007,,13032
"2017-01-17 00:00:00",25030,,18785
"2017-01-18 00:00:00",25516,,14448
"2017-01-19 00:00:00",24352,,13334
"2017-01-20 00:00:00",26784,,15037
"2017-01-21 00:00:00",30426,,12288
"2017-01-22 00:00:00",30774,,19400
"2017-01-23 00:00:00",24019,,16467
"2017-01-24 00:00:00",23687,,18331
"2017-01-25 00:00:00",23785,,14289
"2017-01-26 00:00:00",23197,,9538
"2017-01-27 00:00:00",25771,,13528
"2017-01-28 00:00:00",29299,,9712
"2017-01-29 00:00:00",30507,,13765
"2017-01-30 00:00:00",24139,,9948
"2017-01-31 00:00:00",23790,,8768
"2017-02-01 00:00:00",23820,,11397
"2017-02-02 00:00:00",27697,,12456
"2017-02-03 00:00:00",42394,,34809
"2017-02-04 00:00:00",59199,,47774
"2017-02-05 00:00:00",65010,,78882
"2017-02-06 00:00:00",41778,,21962
"2017-02-07 00:00:00",46259,,28534
"2017-02-08 00:00:00",52115,,25473
"2017-02-09 00:00:00",43122,,17697
"2017-02-10 00:00:00",48865,,17074
"2017-02-11 00:00:00",54908,,18745
"2017-02-12 00:00:00",52661,,18012
"2017-02-13 00:00:00",39276,,15334
"2017-02-14 00:00:00",37869,,14665
"2017-02-15 00:00:00",38708,,21229
"2017-02-16 00:00:00",36699,,18335
"2017-02-17 00:00:00",41646,,13466
"2017-02-18 00:00:00",48737,,15501
"2017-02-19 00:00:00",44002,,16864
"2017-02-20 00:00:00",36401,,11787
"2017-02-21 00:00:00",35515,,19108
"2017-02-22 00:00:00",35279,,13203
"2017-02-23 00:00:00",32482,,21102
"2017-02-24 00:00:00",36744,,14205
"2017-02-25 00:00:00",44197,,11463
"2017-02-26 00:00:00",43672,,14403
"2017-02-27 00:00:00",35329,,13792
"2017-02-28 00:00:00",34951,,19030
"2017-03-01 00:00:00",34112,,10667
"2017-03-02 00:00:00",33415,,12321
"2017-03-03 00:00:00",37172,,9305
"2017-03-04 00:00:00",45103,,9079
"2017-03-05 00:00:00",41238,,11394
"2017-03-06 00:00:00",29423,,22098
"2017-03-07 00:00:00",29255,,11608
"2017-03-08 00:00:00",30634,,12766
"2017-03-09 00:00:00",30430,,17075
"2017-03-10 00:00:00",38095,,12606
"2017-03-11 00:00:00",44651,,8863
"2017-03-12 00:00:00",40452,,11854
"2017-03-13 00:00:00",30873,,10167
"2017-03-14 00:00:00",32476,,10024
"2017-03-15 00:00:00",36149,,11204
"2017-03-16 00:00:00",32022,,16450
"2017-03-17 00:00:00",38519,,15457
"2017-03-18 00:00:00",46984,,9427
"2017-03-19 00:00:00",44089,,10310
"2017-03-20 00:00:00",30988,,9875
"2017-03-21 00:00:00",20325,,20283
"2017-03-22 00:00:00",15442,,11819
"2017-03-23 00:00:00",29319,,26077
"2017-03-24 00:00:00",37241,,8681
"2017-03-25 00:00:00",47655,,7655
"2017-03-26 00:00:00",45447,,16615
"2017-03-27 00:00:00",35486,,11145
"2017-03-28 00:00:00",31674,,16461
"2017-03-29 00:00:00",38388,,10660
"2017-03-30 00:00:00",35049,,15006
"2017-03-31 00:00:00",38028,,9320
"2017-04-01 00:00:00",46815,,8999
"2017-04-02 00:00:00",45794,,12633
"2017-04-03 00:00:00",36881,,9113
"2017-04-04 00:00:00",32982,,14658
"2017-04-05 00:00:00",35431,,11014
"2017-04-06 00:00:00",34701,,13554
"2017-04-07 00:00:00",38788,,16088
"2017-04-08 00:00:00",45283,,9023
"2017-04-09 00:00:00",40663,,13448
"2017-04-10 00:00:00",31869,,9610
"2017-04-11 00:00:00",33368,,13364
"2017-04-12 00:00:00",31830,,22865
"2017-04-13 00:00:00",33275,,14391
"2017-04-14 00:00:00",41249,,8055
"2017-04-15 00:00:00",41408,,7476
"2017-04-16 00:00:00",35431,,12558
"2017-04-17 00:00:00",33931,,9831
"2017-04-18 00:00:00",30520,,15782
"2017-04-19 00:00:00",31243,,10634
