"DateTime","Players","Flags","Twitch Viewers"
"2016-01-07 00:00:00",,,503
"2016-01-08 00:00:00",,,714
"2016-01-09 00:00:00",,,827
"2016-01-10 00:00:00",,,474
"2016-01-11 00:00:00",,,333
"2016-01-12 00:00:00",,,404
"2016-01-13 00:00:00",,,427
"2016-01-14 00:00:00",,,399
"2016-01-15 00:00:00",,,412
"2016-01-16 00:00:00",,,443
"2016-01-17 00:00:00",,,2759
"2016-01-18 00:00:00",,,751
"2016-01-19 00:00:00",,,367
"2016-01-20 00:00:00",,,705
"2016-01-21 00:00:00",,,607
"2016-01-22 00:00:00",,,809
"2016-01-23 00:00:00",,,742
"2016-01-24 00:00:00",,,503
"2016-01-25 00:00:00",,,338
"2016-01-26 00:00:00",,,384
"2016-01-27 00:00:00",,,402
"2016-01-28 00:00:00",,,287
"2016-01-29 00:00:00",,,304
"2016-01-30 00:00:00",,,303
"2016-01-31 00:00:00",,,297
"2016-02-01 00:00:00",,,419
"2016-02-02 00:00:00",,,253
"2016-02-03 00:00:00",,,220
"2016-02-04 00:00:00",,,290
"2016-02-05 00:00:00",,,1569
"2016-02-06 00:00:00",,,552
"2016-02-07 00:00:00",,,326
"2016-02-08 00:00:00",,,318
"2016-02-09 00:00:00",,,1335
"2016-02-10 00:00:00",,,196
"2016-02-11 00:00:00",,,302
"2016-02-12 00:00:00",,,306
"2016-02-13 00:00:00",,,569
"2016-02-14 00:00:00",,,293
"2016-02-15 00:00:00",,,268
"2016-02-16 00:00:00",,,163
"2016-02-17 00:00:00",,,171
"2016-02-18 00:00:00",,,229
"2016-02-19 00:00:00",,,250
"2016-02-20 00:00:00",,,1399
"2016-02-21 00:00:00",,,5051
"2016-02-22 00:00:00",,,3579
"2016-02-23 00:00:00",,,137
"2016-02-24 00:00:00",,,1089
"2016-02-25 00:00:00",,,168
"2016-02-26 00:00:00",,,1336
"2016-02-27 00:00:00",,,1899
"2016-02-28 00:00:00",,,190
"2016-02-29 00:00:00",,,137
"2016-03-01 00:00:00",,,121
"2016-03-02 00:00:00",,,158
"2016-03-03 00:00:00",,,96
"2016-03-04 00:00:00",,,247
"2016-03-05 00:00:00",,,190
"2016-03-06 00:00:00",,,148
"2016-03-07 00:00:00",,,116
"2016-03-08 00:00:00",,,199
"2016-03-09 00:00:00",,,133
"2016-03-10 00:00:00",,,128
"2016-03-11 00:00:00",,,259
"2016-03-12 00:00:00",,,187
"2016-03-13 00:00:00",,,120
"2016-03-14 00:00:00",,,164
