"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-23 15:30:00",15306,15295.37684275793,5350
"2021-05-23 15:40:00",15567,15281.521475064166,5589
"2021-05-23 15:50:00",15828,15267.866109117253,5732
"2021-05-23 16:00:00",16100,15253.760284231,5972
"2021-05-23 16:10:00",16207,15239.599332476933,6439
"2021-05-23 16:20:00",16491,15225.93151455026,6010
"2021-05-23 16:30:00",16755,15212.773969798212,6270
"2021-05-23 16:40:00",17112,15200.111792188964,6541
"2021-05-23 16:50:00",17373,15187.93723590902,6915
"2021-05-23 17:00:00",17702,15176.62655408111,7109
"2021-05-23 17:10:00",17970,15165.591706248995,7257
"2021-05-23 17:20:00",18314,15155.297279794671,7390
"2021-05-23 17:30:00",18641,15144.501801067643,7818
"2021-05-23 17:40:00",19031,15133.375068283616,8091
"2021-05-23 17:50:00",19425,15122.46619260825,8101
"2021-05-23 18:00:00",19926,15111.394589659529,8371
"2021-05-23 18:10:00",20319,15099.896491620668,8633
"2021-05-23 18:20:00",20679,15088.182024572645,8872
"2021-05-23 18:30:00",20977,15076.965742282075,7736
"2021-05-23 18:40:00",21346,15066.82588787829,8276
"2021-05-23 18:50:00",21600,15057.481741898142,8488
"2021-05-23 19:00:00",22013,15049.143112674357,8592
"2021-05-23 19:10:00",22382,15041.031566344467,8086
"2021-05-23 19:20:00",22612,15032.760694256245,8237
"2021-05-23 19:30:00",22823,15024.807108321595,4496
"2021-05-23 19:40:00",23011,15016.794712962957,5820
"2021-05-23 19:50:00",23115,15008.666132251506,6526
"2021-05-23 20:00:00",23282,15001.061495242777,6967
"2021-05-23 20:10:00",23352,14992.130150635192,7046
"2021-05-23 20:20:00",23516,14983.163831467124,7149
"2021-05-23 20:30:00",23555,14973.93129387973,7477
"2021-05-23 20:40:00",23556,14964.523315806035,7591
"2021-05-23 20:50:00",23543,14955.15038843294,7717
"2021-05-23 21:00:00",23487,14945.38388692465,7899
"2021-05-23 21:10:00",23453,14935.04178902939,7858
"2021-05-23 21:20:00",23191,14924.503687169314,7696
"2021-05-23 21:30:00",23077,14913.59644170168,8014
"2021-05-23 21:40:00",22862,14902.023336020677,8136
