"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-23 15:30:00",23247,16912.728335813496,61223
"2021-05-23 15:40:00",23358,16903.98804012346,64066
"2021-05-23 15:50:00",23501,16895.222678133756,67027
"2021-05-23 16:00:00",23910,16886.993843748394,72227
"2021-05-23 16:10:00",23997,16876.590729823805,73489
"2021-05-23 16:20:00",24067,16866.10927185689,53455
"2021-05-23 16:30:00",24093,16856.49598183089,53753
"2021-05-23 16:40:00",24235,16848.197733680918,55540
"2021-05-23 16:50:00",24392,16840.70407802396,63562
"2021-05-23 17:00:00",24932,16834.364647043836,74403
"2021-05-23 17:10:00",26053,16829.445244734048,109811
"2021-05-23 17:20:00",26689,16823.482438167335,103686
"2021-05-23 17:30:00",26936,16816.48888062169,92691
"2021-05-23 17:40:00",27049,16809.479187151752,95225
"2021-05-23 17:50:00",27069,16802.787900378837,95119
"2021-05-23 18:00:00",27163,16796.57927845353,93082
"2021-05-23 18:10:00",27241,16790.01199978714,91323
"2021-05-23 18:20:00",27296,16783.722559269434,88646
"2021-05-23 18:30:00",27173,16777.289686743334,85669
"2021-05-23 18:40:00",27050,16770.96491999577,81649
"2021-05-23 18:50:00",26689,16765.223871527778,78873
"2021-05-23 19:00:00",26402,16762.038816192224,76343
"2021-05-23 19:10:00",25984,16760.22635310955,78358
"2021-05-23 19:20:00",25648,16760.4471070864,77401
"2021-05-23 19:30:00",25384,16761.77010395332,79804
"2021-05-23 19:40:00",25145,16764.026530864197,80067
"2021-05-23 19:50:00",24988,16766.00954664273,81313
"2021-05-23 20:00:00",24852,16767.758454997813,81252
"2021-05-23 20:10:00",24580,16768.599552538028,78978
"2021-05-23 20:20:00",24145,16768.295737459495,53569
"2021-05-23 20:30:00",23698,16767.68540426587,54931
"2021-05-23 20:40:00",23382,16766.836546916442,56039
"2021-05-23 20:50:00",23014,16764.700794527613,57581
"2021-05-23 21:00:00",22648,16761.89280617217,59495
"2021-05-23 21:10:00",22308,16758.541726408464,65164
"2021-05-23 21:20:00",22050,16754.542362029682,69207
"2021-05-23 21:30:00",21794,16748.92372782446,72861
"2021-05-23 21:40:00",21423,16741.288935072538,72735
"2021-05-23 21:50:00",21029,16732.97116905337,72541
"2021-05-23 22:00:00",20682,16724.023764024492,67776
"2021-05-23 22:10:00",20220,16714.238695790817,70788
"2021-05-23 22:20:00",19917,16703.87559512083,58982
"2021-05-23 22:30:00",19467,16692.808601609657,57336
"2021-05-23 22:40:00",18986,16681.903044871793,56397
"2021-05-23 22:50:00",18595,16671.883074294532,56121
"2021-05-23 23:00:00",18147,16661.79761904762,68077
"2021-05-23 23:10:00",17825,16652.52947255291,66923
"2021-05-23 23:20:00",17451,16643.356729497355,51858
"2021-05-23 23:30:00",17033,16634.961950231478,50992
"2021-05-23 23:40:00",16682,16627.559220679013,52292
"2021-05-23 23:50:00",16401,16620.541832010582,50431
"2021-05-24 00:00:00",16259,16614.184647817456,49661
"2021-05-24 00:10:00",16217,16607.51984815917,48491
